user_id,movie_id,rating,timestamp,prior_history_count,target_item_support
1,48,5.0,978824351,52,368
2,1544,4.0,978300174,125,1196
3,2081,4.0,978298504,50,1009
5,2029,4.0,978246555,193,71
6,597,5.0,978239019,70,1030
7,349,5.0,978234874,23,1044
8,741,5.0,978233526,137,308
9,2294,4.0,978226678,104,633
10,2252,5.0,980638688,400,182
11,2076,4.0,978908976,135,644
13,421,5.0,978202491,91,91
14,1225,4.0,978201317,23,1367
15,3510,5.0,978361393,200,771
16,2724,4.0,978174755,31,630
17,164,4.0,978161166,207,370
18,1683,5.0,978157434,304,214
19,1234,5.0,994556636,254,1029
20,1371,4.0,1009669227,23,766
21,2800,4.0,978139540,21,19
22,910,4.0,991149892,296,815
23,2148,4.0,993706741,290,162
24,2657,4.0,986157459,135,1204
25,3745,4.0,978386228,83,512
26,1784,5.0,978384872,398,1397
27,1198,5.0,978130092,66,2466
28,2132,5.0,978985335,106,286
29,3633,4.0,978136342,104,347
30,3554,4.0,978122183,41,113
31,3524,4.0,978121851,115,524
32,3147,5.0,978123863,42,1182
33,1339,5.0,978985700,385,662
34,3257,4.0,978104692,163,601
35,910,4.0,978104931,195,815
36,3639,4.0,1040545125,350,453
37,1088,5.0,978057358,51,668
38,3948,4.0,978046603,98,795
39,86,4.0,978044402,60,210
40,466,4.0,978041370,91,556
41,1643,5.0,978041582,24,258
42,2371,4.0,978041996,230,590
43,2858,4.0,978026708,23,3299
44,2297,4.0,1004412196,192,346
45,2473,4.0,977992097,295,184
48,1310,4.0,978149424,596,40
49,296,4.0,978813972,104,2123
50,3861,4.0,977961307,40,230
51,1895,5.0,977948011,38,298
52,2706,5.0,977948475,78,1336
53,581,5.0,977990888,683,137
54,3507,5.0,977944889,38,382
55,356,5.0,977948435,24,2138
56,2302,4.0,977939927,65,1066
57,1090,4.0,977936132,60,1117
58,2986,4.0,977942329,413,465
59,953,5.0,1041968282,207,717
60,2583,4.0,977932390,67,229
61,3646,4.0,977903324,29,160
62,2939,4.0,977970461,497,48
63,541,5.0,980111457,97,1754
64,2858,5.0,977892800,25,3299
65,953,5.0,1041090068,120,717
66,1961,5.0,977886886,25,1297
67,902,5.0,977887126,63,659
68,1747,5.0,991376187,70,894
69,476,4.0,977882427,64,34
70,3793,5.0,977878348,53,1409
71,2605,4.0,977876031,25,755
72,3105,4.0,977869538,41,671
73,3889,4.0,984282049,253,124
74,50,5.0,993339024,38,1751
75,2392,5.0,978750501,173,188
76,3510,4.0,989092470,84,771
77,2700,4.0,977814274,34,1245
78,417,4.0,978571371,130,203
79,2024,4.0,977805821,22,143
80,590,5.0,993780330,47,1426
81,260,5.0,977786694,84,2912
82,47,4.0,978816999,115,1117
83,60,5.0,977721051,88,338
84,2858,4.0,977717867,29,3299
85,3005,5.0,992325184,35,616
86,54,4.0,983319953,46,38
87,1610,5.0,977768358,57,1624
88,1961,5.0,977696618,62,1297
90,1429,5.0,993965451,224,293
91,912,5.0,977666675,41,1637
92,886,4.0,986711712,424,99
93,172,4.0,977632898,199,436
95,3147,4.0,977629537,97,1182
96,1073,4.0,980565244,80,1285
97,3334,4.0,999717170,153,450
99,2144,5.0,994354345,105,711
100,919,5.0,977594947,73,1686
101,3841,5.0,977579274,105,289
102,2040,4.0,1043799154,130,125
103,2153,5.0,977555948,112,268
104,2490,4.0,1016055781,44,763
105,163,5.0,977544363,56,533
106,2065,4.0,977536364,43,473
107,1147,4.0,977534779,115,273
108,3938,4.0,977528001,34,25
109,1028,4.0,977528296,80,986
110,1673,5.0,977515330,76,1109
111,367,4.0,977513112,90,1150
112,1179,5.0,977508731,54,862
113,3895,4.0,977507389,67,88
114,3095,5.0,980374273,97,511
115,611,4.0,977502018,35,197
116,1388,4.0,997448790,83,357
117,2019,5.0,977510051,503,611
118,2917,4.0,977502929,220,497
119,2719,5.0,978216413,104,458
120,1208,5.0,978149909,60,1152
121,1,5.0,977459322,69,2041
122,2616,4.0,993446172,42,609
123,1352,4.0,979678654,607,93
124,3298,4.0,983727215,22,564
125,3948,5.0,977519467,70,795
126,2943,5.0,977445355,50,154
127,1214,4.0,1023070563,171,1979
128,2657,5.0,977434498,21,1204
129,736,4.0,977436487,156,1073
130,1101,5.0,977432308,129,989
131,668,4.0,1014088199,292,44
132,1297,5.0,977429354,81,435
133,3798,4.0,994795679,167,414
134,3783,5.0,1022094365,182,228
135,1197,5.0,977417160,67,2272
136,2356,5.0,977531380,374,91
137,1391,4.0,1000870148,200,1047
138,47,5.0,977362502,58,1117
139,3766,4.0,977363000,244,180
140,969,5.0,993950787,53,1034
141,2203,5.0,977357662,21,223
142,2761,4.0,980559291,45,651
