factor_index,factor_variance,polarity,polarity_rank,movie_id,title,genres,factor_loading
123,0.017043564967144143,positive,1,3688,Porky's (1981),Comedy,0.6443806886672974
123,0.017043564967144143,positive,2,3431,Death Wish II (1982),Action|Drama,0.4830693304538727
123,0.017043564967144143,positive,3,3689,Porky's II: The Next Day (1983),Comedy,0.41526517271995544
123,0.017043564967144143,positive,4,1855,Krippendorf's Tribe (1998),Comedy,0.41103464365005493
123,0.017043564967144143,positive,5,3433,Death Wish 4: The Crackdown (1987),Action|Drama,0.40293222665786743
123,0.017043564967144143,positive,6,2411,Rocky IV (1985),Action|Drama,0.40057942271232605
123,0.017043564967144143,positive,7,2961,"Story of Us, The (1999)",Comedy|Drama,0.3988052010536194
123,0.017043564967144143,positive,8,3577,Two Moon Juction (1988),Drama,0.39556676149368286
123,0.017043564967144143,negative,1,2710,"Blair Witch Project, The (1999)",Horror,-0.4968467056751251
123,0.017043564967144143,negative,2,532,Serial Mom (1994),Comedy|Crime|Horror,-0.4251563251018524
123,0.017043564967144143,negative,3,1734,My Life in Pink (Ma vie en rose) (1997),Comedy|Drama,-0.41353219747543335
123,0.017043564967144143,negative,4,1054,Get on the Bus (1996),Drama,-0.4117470681667328
123,0.017043564967144143,negative,5,3608,Pee-wee's Big Adventure (1985),Comedy,-0.40153005719184875
123,0.017043564967144143,negative,6,3718,American Pimp (1999),Documentary,-0.3941378593444824
123,0.017043564967144143,negative,7,1883,Bulworth (1998),Comedy,-0.39277592301368713
123,0.017043564967144143,negative,8,2022,"Last Temptation of Christ, The (1988)",Drama,-0.3740471303462982
33,0.016540846254733385,positive,1,3225,Down to You (2000),Comedy|Romance,0.5667291879653931
33,0.016540846254733385,positive,2,3004,"Bachelor, The (1999)",Comedy|Romance,0.5093505382537842
33,0.016540846254733385,positive,3,1479,"Saint, The (1997)",Action|Romance|Thriller,0.4656097888946533
33,0.016540846254733385,positive,4,3743,Boys and Girls (2000),Comedy|Romance,0.4524112343788147
33,0.016540846254733385,positive,5,3889,Highlander: Endgame (2000),Action|Adventure|Fantasy,0.4477720260620117
33,0.016540846254733385,positive,6,2882,Jakob the Liar (1999),Drama,0.41248881816864014
33,0.016540846254733385,positive,7,469,"House of the Spirits, The (1993)",Drama|Romance,0.40441644191741943
33,0.016540846254733385,positive,8,1620,Kiss the Girls (1997),Crime|Drama|Thriller,0.40264469385147095
33,0.016540846254733385,negative,1,2657,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,-0.5740588307380676
33,0.016540846254733385,negative,2,1282,Fantasia (1940),Animation|Children's|Musical,-0.44116079807281494
33,0.016540846254733385,negative,3,2483,"Day of the Beast, The (El Día de la bestia) (1995)",Comedy|Horror|Thriller,-0.43913960456848145
33,0.016540846254733385,negative,4,2647,House of Frankenstein (1944),Horror,-0.42406487464904785
33,0.016540846254733385,negative,5,1054,Get on the Bus (1996),Drama,-0.42320629954338074
33,0.016540846254733385,negative,6,1924,Plan 9 from Outer Space (1958),Horror|Sci-Fi,-0.4083145558834076
33,0.016540846254733385,negative,7,1169,American Dream (1990),Documentary,-0.3923657238483429
33,0.016540846254733385,negative,8,3018,Re-Animator (1985),Horror,-0.3806295096874237
